COMNAME,SVSPP,SPECIES_ITIS,INDEX_TYPE,LENGTH,CALIBRATION_FACTOR,CALIBRATION_CV,STOCK,SEASON,SEX
ATLANTIC HERRING,32,161722,NUMBER,32,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,33,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,33,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,34,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,34,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,35,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,35,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,36,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,36,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,37,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,37,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,38,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,38,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,39,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,39,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,40,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,40,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,41,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,41,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,42,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,42,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,43,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,43,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,44,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,44,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,45,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,45,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,46,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,46,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,47,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,47,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,48,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,48,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,49,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,49,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,50,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,50,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,51,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,51,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,52,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,52,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,53,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,53,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,54,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,54,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,55,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,55,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,56,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,56,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,57,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,57,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,58,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,58,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,59,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,59,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,60,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,60,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,61,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,61,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,62,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,62,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,63,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,63,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,64,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,64,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,65,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,65,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,66,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,66,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,67,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,67,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,68,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,68,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,69,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,69,2.310094284,,UNIT,FALL,NONE
ATLANTIC HERRING,32,161722,NUMBER,70,2.310094284,,UNIT,SPRING,NONE
ATLANTIC HERRING,32,161722,NUMBER,70,2.310094284,,UNIT,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,1,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,1,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,1,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,1,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,2,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,2,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,2,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,2,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,3,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,3,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,3,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,3,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,4,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,4,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,4,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,4,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,5,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,5,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,5,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,5,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,6,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,6,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,6,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,6,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,7,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,7,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,7,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,7,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,8,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,8,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,8,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,8,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,9,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,9,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,9,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,9,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,10,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,10,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,10,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,10,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,11,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,11,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,11,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,11,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,12,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,12,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,12,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,12,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,13,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,13,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,13,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,13,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,14,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,14,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,14,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,14,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,15,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,15,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,15,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,15,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,16,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,16,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,16,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,16,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,17,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,17,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,17,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,17,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,18,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,18,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,18,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,18,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,19,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,19,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,19,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,19,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,20,5.723743,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,20,5.723742445,0.162073843,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,20,5.723743,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,20,5.723742445,0.162073843,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,21,5.600243012,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,21,5.600242468,0.159852426,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,21,5.600242468,0.159852426,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,21,5.600243012,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,22,5.476743024,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,22,5.476742491,0.1575453,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,22,5.476742491,0.1575453,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,22,5.476743024,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,23,5.353243035,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,23,5.353242514,0.155148264,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,23,5.353242514,0.155148264,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,23,5.353243035,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,24,5.229743047,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,24,5.229742537,0.152657004,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,24,5.229742537,0.152657004,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,24,5.229743047,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,25,5.106243059,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,25,5.106242559,0.150067134,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,25,5.106242559,0.150067134,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,25,5.106243059,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,26,4.982743071,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,26,4.982742582,0.147374261,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,26,4.982742582,0.147374261,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,26,4.982743071,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,27,4.859243082,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,27,4.859242605,0.144574085,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,27,4.859242605,0.144574085,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,27,4.859243082,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,28,4.735743094,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,28,4.735742628,0.141662526,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,28,4.735742628,0.141662526,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,28,4.735743094,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,29,4.612243106,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,29,4.61224265,0.138635921,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,29,4.61224265,0.138635921,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,29,4.612243106,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,30,4.488743118,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,30,4.488742673,0.135491292,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,30,4.488742673,0.135491292,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,30,4.488743118,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,31,4.365243129,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,31,4.365242696,0.132226721,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,31,4.365242696,0.132226721,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,31,4.365243129,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,32,4.241743141,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,32,4.241742719,0.128841883,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,32,4.241742719,0.128841883,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,32,4.241743141,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,33,4.118243153,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,33,4.118242742,0.125338788,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,33,4.118242742,0.125338788,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,33,4.118243153,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,34,3.994743165,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,34,3.994742764,0.121722823,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,34,3.994742764,0.121722823,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,34,3.994743165,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,35,3.871243176,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,35,3.871242787,0.118004223,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,35,3.871242787,0.118004223,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,35,3.871243176,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,36,3.747743188,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,36,3.74774281,0.114200134,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,36,3.74774281,0.114200134,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,36,3.747743188,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,37,3.6242432,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,37,3.624242833,0.110337516,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,37,3.624242833,0.110337516,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,37,3.6242432,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,38,3.500743212,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,38,3.500742855,0.106457196,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,38,3.500742855,0.106457196,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,38,3.500743212,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,39,3.377243223,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,39,3.377242878,0.102619471,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,39,3.377242878,0.102619471,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,39,3.377243223,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,40,3.253743235,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,40,3.253742901,0.098911672,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,40,3.253742901,0.098911672,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,40,3.253743235,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,41,3.130243247,,GBK,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,41,3.130242924,0.095457993,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,41,3.130242924,0.095457993,GOM,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,41,3.130243247,,GBK,FALL,NONE
ATLANTIC COD,73,164712,NUMBER,42,3.006742946,0.092431326,GOM,SPRING,NONE
ATLANTIC COD,73,164712,NUMBER,42,3.006743259,,GBK,SPRING,NONE
